"StartDate","EndDate","Status","Duration__in_seconds_","consent","age","gender","Partner_Availabilty1","Partner_Availabilty2","FearBeingSingle1","FearBeingSingle2","FearBeingSingle3","DAuse","RsStatus","SexOrient","Q_TotalDuration","Dummy_Relationship","Dummy_Female","PartnerAvail","FOBS","c_PAmany","RsStatus_inRShip","Gndr_F"
2019-12-05 17:30:54,2019-12-05 17:41:33,0,638,1,53,2,3,1,1,1,1,1,2,1,638,1,1,2,1,-0.8861,1,1
2019-12-05 21:28:18,2019-12-05 21:51:16,0,1377,1,61,1,4,3,5,3,1,1,2,1,1377,1,0,3.5,3,0.6139,1,0
2019-12-05 21:55:43,2019-12-05 22:21:42,0,1558,1,38,2,1,1,2,4,1,1,2,1,1558,1,1,1,2.33333333333333,-1.8861,1,1
2019-12-06 17:15:40,2019-12-06 18:34:43,0,4742,1,51,2,1,1,1,1,1,1,2,1,4742,1,1,1,1,-1.8861,1,1
2019-12-06 20:29:15,2019-12-06 20:46:13,0,1018,1,54,2,5,3,3,5,5,1,2,1,1018,1,1,4,4.33333333333333,1.1139,1,1
2019-12-07 07:19:14,2019-12-07 07:50:15,0,1861,1,56,1,4,5,1,2,3,1,2,1,1861,1,0,4.5,2,1.6139,1,0
2019-12-07 11:28:49,2019-12-07 11:37:17,0,507,1,48,1,3,4,2,5,5,1,2,1,507,1,0,3.5,4,0.6139,1,0
2019-12-07 14:28:28,2019-12-07 14:42:28,0,840,1,52,2,1,3,3,3,3,1,2,1,840,1,1,2,3,-0.8861,1,1
2019-12-07 22:58:21,2019-12-07 23:23:05,0,1483,1,51,2,1,3,1,1,3,1,2,1,1483,1,1,2,1.66666666666667,-0.8861,1,1
2019-12-08 09:01:40,2019-12-08 09:23:19,0,1299,1,49,2,2,2,1,2,1,1,2,1,1299,1,1,2,1.33333333333333,-0.8861,1,1
2019-12-08 11:24:32,2019-12-08 11:42:29,0,1076,1,39,1,2,1,3,5,5,1,2,1,1076,1,0,1.5,4.33333333333333,-1.3861,1,0
2019-12-08 13:22:22,2019-12-08 14:02:52,0,2429,1,18,1,1,1,2,2,4,1,2,1,2429,1,0,1,2.66666666666667,-1.8861,1,0
2019-12-08 21:42:56,2019-12-08 22:16:21,0,2005,1,37,2,2,5,5,4,4,1,2,1,2005,1,1,3.5,4.33333333333333,0.6139,1,1
2019-12-09 07:50:53,2019-12-09 08:21:07,0,1813,1,35,2,2,2,4,1,3,1,2,1,1813,1,1,2,2.66666666666667,-0.8861,1,1
2019-12-09 10:00:48,2019-12-09 11:41:27,0,6038,1,32,2,5,1,5,5,5,1,2,3,6038,1,1,3,5,0.1139,1,1
2019-12-09 11:12:55,2019-12-09 11:59:17,0,2781,1,26,1,4,3,4,5,5,1,2,1,2781,1,0,3.5,4.66666666666667,0.6139,1,0
2019-12-09 18:17:25,2019-12-09 18:32:52,0,926,1,49,2,1,1,3,4,3,1,2,4,926,1,1,1,3.33333333333333,-1.8861,1,1
2019-12-09 20:13:56,2019-12-09 20:36:48,0,1371,1,46,2,3,3,1,3,3,1,2,1,1371,1,1,3,2.33333333333333,0.1139,1,1
2019-12-10 10:09:21,2019-12-10 10:29:06,0,1185,1,49,1,2,2,3,3,2,1,2,1,1185,1,0,2,2.66666666666667,-0.8861,1,0
2019-12-10 11:25:26,2019-12-10 12:58:41,0,5595,1,42,1,2,2,1,3,1,1,2,1,5595,1,0,2,1.66666666666667,-0.8861,1,0
2019-12-10 13:19:20,2019-12-10 13:28:36,0,555,1,45,2,3,3,3,4,3,1,2,4,555,1,1,3,3.33333333333333,0.1139,1,1
